iso_code,location,total_cases,hosp_patients,hospitalization_rate,hospitalization_need
AUS,Australia,9324106040.0,1845437.0,0.01979210652563535,Low
AUT,Austria,5308511352.0,1422388.0,0.026794479764352588,Low
BEL,Belgium,4751573368.0,2053796.0,0.043223493376562755,Low
BGR,Bulgaria,1351327259.0,408944.0,0.03026239552827669,Low
BOL,Bolivia,1220940503.0,368769.0,0.030203683070050464,Low
CAN,Canada,4665470344.0,5207303.0,0.11161367699393525,High
CHE,Switzerland,4174014301.0,1030447.0,0.024687193806526442,Low
CYP,Cyprus,597523424.0,84614.0,0.014160783762010309,Low
CZE,Czechia,4853321180.0,2281137.0,0.047001566873429136,Low
DNK,Denmark,3189166514.0,405048.0,0.01270074792965169,Low
ESP,Spain,14292242359.0,6472838.0,0.04528917042834762,Low
EST,Estonia,595256509.0,237597.0,0.039915061222791266,Low
FIN,Finland,1315927764.0,306628.0,0.023301279020662112,Low
FRA,France,35276866268.0,19367212.0,0.05490060214778259,Medium
GBR,United Kingdom,24768373218.0,10956939.0,0.04423762070912767,Low
HRV,Croatia,1308075128.0,801526.0,0.06127522669324846,Medium
IRL,Ireland,1682470680.0,75504.0,0.00448768593102615,Very Low
ISR,Israel,4690246037.0,965552.0,0.02058638272668509,Low
ITA,Italy,23516696786.0,13481707.0,0.057328234159254685,Medium
JPN,Japan,24572158686.0,2482892.0,0.01010449277870987,Low
KOR,South Korea,25657640953.0,470347.0,0.0018331654140050823,Very Low
LIE,Liechtenstein,19991699.0,2289.0,0.011449752219658771,Low
LTU,Lithuania,1295043016.0,394655.0,0.030474277311573098,Low
LUX,Luxembourg,351498408.0,58950.0,0.016771057466638654,Low
MYS,Malaysia,5022590588.0,3236298.0,0.06443483583416455,Medium
NLD,Netherlands,8470265208.0,612203.0,0.007227672156260068,Very Low
NOR,Norway,1411704339.0,90903.0,0.0064392378410051765,Very Low
POL,Poland,7008760719.0,7112613.0,0.10148174955835584,High
PRT,Portugal,5275549212.0,953829.0,0.018080183913939764,Low
ROU,Romania,3532839734.0,3420712.0,0.09682613018301157,Medium
SRB,Serbia,2537274167.0,2466894.0,0.09722615049191884,Medium
SVK,Slovakia,1855857206.0,1124873.0,0.06061204473939468,Medium
SVN,Slovenia,1261712371.0,365542.0,0.028971896321368477,Low
SWE,Sweden,2870333251.0,1198868.0,0.0417675543277884,Low
USA,United States,105914483457.0,50691728.0,0.04786099723611477,Low
ZAF,South Africa,4691316718.0,5107144.0,0.10886376484462287,High
